date,airline,flight_number,origin,destination,origin_country,destination_country,aircraft_type,passengers_affected,reason
2026-03-11,Emirates SkyCargo,EM5752,Dubai,Islamabad,UAE,Pakistan,Airbus A320neo,331,Government travel ban
2026-03-11,Kuwait Airways,KU2743,Cairo,Dubai,Egypt,UAE,Boeing 787-10 Dreamliner,164,Fuel supply disruption
2026-03-11,Lufthansa,LU6129,Istanbul,Karachi,Turkey,Pakistan,Airbus A340-600,415,Airspace closure — NOTAM
2026-03-11,American Airlines,AM5886,Mumbai,Dubai,India,UAE,Airbus A340-600,166,Crew duty-time exceedance after long reroutes
2026-03-11,Jazeera Airways,JA8109,Dubai,Cairo,UAE,Egypt,Boeing 787-9 Dreamliner,270,ATC flow restrictions — congestion
2026-03-11,EgyptAir,EG2011,Bahrain,London,Bahrain,UK,Boeing 777-300ER,334,Airport closure — military activity
2026-03-11,Emirates SkyCargo,EM1754,Dubai,Amman,UAE,Jordan,Airbus A340-600,312,Diplomatic advisory — do not fly
2026-03-11,Oman Air,OM2930,Dubai,Mumbai,UAE,India,Airbus A321neo,95,Diplomatic advisory — do not fly
2026-03-11,Iran Air,IR7152,London,Bahrain,UK,Bahrain,Boeing 777-300ER,166,Security risk — conflict zone
2026-03-11,EgyptAir,EG5667,Cairo,Kuwait City,Egypt,Kuwait,Airbus A320neo,153,Security risk — conflict zone
2026-03-11,Air India,AI2490,London,Dubai,UK,UAE,Boeing 737-800,240,ATC flow restrictions — congestion
2026-03-11,Air France,AI3661,Beirut,Paris,Lebanon,France,Boeing 737 MAX 8,221,Airport closure — military activity
2026-03-11,Air France,AI3548,Tehran,Moscow,Iran,Russia,Airbus A340-600,159,Government travel ban
2026-03-11,FedEx Express,FE1123,Paris,Doha,France,Qatar,Airbus A350-900,228,Insurance restriction — war zone
2026-03-11,Etihad Airways,ET1779,Tehran,Istanbul,Iran,Turkey,Airbus A330-300,160,Diplomatic advisory — do not fly
2026-03-11,Gulf Air,GU9578,Moscow,Tehran,Russia,Iran,Boeing 777-200LR,161,Fuel supply disruption
2026-03-11,Thai Airways,TH8012,Dubai,Islamabad,UAE,Pakistan,Boeing 777-200LR,235,Airport closure — military activity
2026-03-11,Etihad Airways,ET9880,Doha,New York,Qatar,USA,Boeing 787-10 Dreamliner,415,Airport closure — military activity
2026-03-11,Iran Air,IR8430,Doha,Mumbai,Qatar,India,Boeing 777-300ER,366,Government travel ban
2026-03-11,Mahan Air,MA2635,Kuwait City,London,Kuwait,UK,Boeing 787-9 Dreamliner,329,Airspace closure — NOTAM
2026-03-12,Iran Air,IR7022,Tehran,Istanbul,Iran,Turkey,Airbus A340-600,266,Airport closure — military activity
2026-03-12,Cathay Pacific,CA6173,Kuwait City,Mumbai,Kuwait,India,Airbus A321neo,323,Fuel supply disruption
2026-03-12,KLM,KL2718,Los Angeles,Doha,USA,Qatar,Boeing 737 MAX 8,443,Fuel supply disruption
2026-03-12,Qatar Airways,QA389,Frankfurt,Dubai,Germany,UAE,Airbus A321neo,135,Fuel supply disruption
2026-03-12,KLM,KL7899,New York,Doha,USA,Qatar,Boeing 777-300ER,345,Fuel supply disruption
2026-03-12,Emirates SkyCargo,EM6045,Bahrain,London,Bahrain,UK,Boeing 777-200LR,101,ATC flow restrictions — congestion
2026-03-12,Gulf Air,GU8270,Dubai,Delhi,UAE,India,Boeing 777-300ER,114,Insurance restriction — war zone
2026-03-12,Cathay Pacific,CA2011,Istanbul,Delhi,Turkey,India,Airbus A320neo,128,Fuel supply disruption
2026-03-12,Qatar Airways,QA4259,New York,Dubai,USA,UAE,Airbus A330-300,181,Government travel ban
2026-03-12,Air France,AI6307,Dubai,Mumbai,UAE,India,Airbus A330-300,98,Fuel supply disruption
2026-03-12,Singapore Airlines,SI9793,Sydney,Abu Dhabi,Australia,UAE,Airbus A321neo,98,Crew safety — company policy
2026-03-12,EgyptAir,EG5294,Istanbul,Karachi,Turkey,Pakistan,Boeing 737-800,101,ATC flow restrictions — congestion
2026-03-12,Ethiopian Airlines,ET883,Frankfurt,Dubai,Germany,UAE,Boeing 787-9 Dreamliner,208,Diplomatic advisory — do not fly
2026-03-12,Delta Air Lines,DE2030,Islamabad,Riyadh,Pakistan,Saudi Arabia,Airbus A320neo,216,Fuel supply disruption
2026-03-12,Etihad Airways,ET8574,Beijing,Tehran,China,Iran,Boeing 787-9 Dreamliner,305,Fuel supply disruption
2026-03-12,Gulf Air,GU9771,Istanbul,Delhi,Turkey,India,Boeing 787-9 Dreamliner,186,Government travel ban
2026-03-12,DHL Aviation,DH2863,Doha,Paris,Qatar,France,Airbus A380-800,234,Government travel ban
2026-03-13,Ethiopian Airlines,ET2332,Singapore,Dubai,Singapore,UAE,Airbus A330-300,96,Temporary corridor suspension — safety bulletin
2026-03-13,Emirates,EM9134,Dubai,Delhi,UAE,India,Airbus A350-900,186,Crew safety — company policy
2026-03-13,Oman Air,OM9641,Dubai,Frankfurt,UAE,Germany,Boeing 737-800,373,Airspace closure — NOTAM
2026-03-13,flydubai,FL5101,London,Abu Dhabi,UK,UAE,Airbus A350-900,421,Airport closure — military activity
2026-03-13,Mahan Air,MA9230,Kuwait City,Mumbai,Kuwait,India,Boeing 777-200LR,131,Diplomatic advisory — do not fly
2026-03-13,Ethiopian Airlines,ET9661,Kuwait City,Cairo,Kuwait,Egypt,Boeing 737 MAX 8,396,Crew safety — company policy
2026-03-13,Ethiopian Airlines,ET9803,Dubai,Delhi,UAE,India,Airbus A320neo,235,Insurance restriction — war zone
2026-03-13,IndiGo,IN4802,Istanbul,Tehran,Turkey,Iran,Airbus A380-800,278,Airspace closure — NOTAM
2026-03-13,flydubai,FL5417,Dubai,New York,UAE,USA,Airbus A330-300,328,Government travel ban
2026-03-13,Singapore Airlines,SI6952,New York,Doha,USA,Qatar,Airbus A340-600,356,Diplomatic advisory — do not fly
2026-03-13,flydubai,FL2829,Dubai,Bahrain,UAE,Bahrain,Boeing 787-9 Dreamliner,99,Fuel supply disruption
2026-03-13,Qatar Airways,QA5228,Doha,Los Angeles,Qatar,USA,Airbus A350-900,255,Crew duty-time exceedance after long reroutes
2026-03-13,Qatar Airways,QA9832,Bahrain,London,Bahrain,UK,Airbus A330-300,264,Government travel ban
2026-03-13,United Airlines,UN7701,Abu Dhabi,London,UAE,UK,Airbus A340-600,166,Fuel supply disruption
2026-03-13,IndiGo,IN2792,Moscow,Tehran,Russia,Iran,Airbus A321neo,311,Crew duty-time exceedance after long reroutes
2026-03-14,EgyptAir,EG9007,Cairo,Dubai,Egypt,UAE,Airbus A321neo,202,ATC flow restrictions — congestion
2026-03-14,Delta Air Lines,DE714,Riyadh,Islamabad,Saudi Arabia,Pakistan,Boeing 787-10 Dreamliner,367,Security risk — conflict zone
2026-03-14,Qatar Airways,QA6578,Tehran,Beijing,Iran,China,Airbus A320neo,115,Security risk — conflict zone
2026-03-14,DHL Aviation,DH9381,Dubai,New York,UAE,USA,Boeing 787-9 Dreamliner,308,Insurance restriction — war zone
2026-03-14,Air India,AI6686,Kuwait City,Cairo,Kuwait,Egypt,Airbus A330-300,209,Government travel ban
2026-03-14,Emirates SkyCargo,EM7384,Beijing,Tehran,China,Iran,Boeing 777-200LR,285,Airspace closure — NOTAM
2026-03-14,British Airways,BR9459,Abu Dhabi,Sydney,UAE,Australia,Boeing 737-800,263,Diplomatic advisory — do not fly
2026-03-14,Delta Air Lines,DE4338,Dubai,Paris,UAE,France,Airbus A320neo,81,Security risk — conflict zone
2026-03-14,Jazeera Airways,JA7769,Singapore,London,Singapore,UK,Airbus A321neo,305,Insurance restriction — war zone
2026-03-14,Pakistan International Airlines,PA9406,Abu Dhabi,London,UAE,UK,Airbus A350-900,104,Security risk — conflict zone
2026-03-14,EgyptAir,EG1990,Sydney,Abu Dhabi,Australia,UAE,Airbus A380-800,80,Diplomatic advisory — do not fly
2026-03-14,Ethiopian Airlines,ET3609,Dubai,Karachi,UAE,Pakistan,Airbus A350-900,156,Insurance restriction — war zone
2026-03-14,DHL Aviation,DH5355,Karachi,Dubai,Pakistan,UAE,Boeing 737-800,325,Temporary corridor suspension — safety bulletin
2026-03-14,Emirates,EM1648,Tehran,Istanbul,Iran,Turkey,Airbus A380-800,300,Crew safety — company policy
2026-03-14,British Airways,BR9671,Riyadh,Islamabad,Saudi Arabia,Pakistan,Airbus A380-800,333,Temporary corridor suspension — safety bulletin
2026-03-14,Malaysia Airlines,MA8013,Mumbai,Dubai,India,UAE,Boeing 737 MAX 8,240,ATC flow restrictions — congestion
2026-03-14,Delta Air Lines,DE2720,Doha,Mumbai,Qatar,India,Airbus A320neo,274,Crew duty-time exceedance after long reroutes
2026-03-15,Malaysia Airlines,MA8046,Islamabad,Dubai,Pakistan,UAE,Airbus A330-300,379,Temporary corridor suspension — safety bulletin
2026-03-15,KLM,KL6669,Doha,London,Qatar,UK,Boeing 737 MAX 8,230,Temporary corridor suspension — safety bulletin
2026-03-15,Thai Airways,TH6755,Cairo,Riyadh,Egypt,Saudi Arabia,Boeing 787-10 Dreamliner,398,Temporary corridor suspension — safety bulletin
2026-03-15,IndiGo,IN3018,Kuwait City,Mumbai,Kuwait,India,Airbus A320neo,148,ATC flow restrictions — congestion
2026-03-15,Pakistan International Airlines,PA7752,Abu Dhabi,Sydney,UAE,Australia,Boeing 787-10 Dreamliner,345,ATC flow restrictions — congestion
2026-03-15,Mahan Air,MA271,Beijing,Tehran,China,Iran,Boeing 777-300ER,209,Fuel supply disruption
2026-03-15,Cargolux,CA5019,Mumbai,Kuwait City,India,Kuwait,Boeing 737 MAX 8,271,Airspace closure — NOTAM
2026-03-15,United Airlines,UN5974,Dubai,Islamabad,UAE,Pakistan,Boeing 777-300ER,235,Crew safety — company policy
2026-03-15,British Airways,BR7628,Doha,Paris,Qatar,France,Airbus A380-800,127,Diplomatic advisory — do not fly
2026-03-15,Cathay Pacific,CA8715,Los Angeles,Doha,USA,Qatar,Boeing 787-9 Dreamliner,316,Crew safety — company policy
2026-03-15,Singapore Airlines,SI5227,Cairo,Dubai,Egypt,UAE,Boeing 737 MAX 8,96,Temporary corridor suspension — safety bulletin
2026-03-15,DHL Aviation,DH5027,Abu Dhabi,Sydney,UAE,Australia,Airbus A350-900,103,Crew safety — company policy
2026-03-15,Jazeera Airways,JA8269,Paris,Doha,France,Qatar,Airbus A340-600,292,Government travel ban
2026-03-15,Lufthansa,LU3236,Singapore,Dubai,Singapore,UAE,Airbus A380-800,426,Airport closure — military activity
2026-03-16,Emirates,EM2864,Washington,Abu Dhabi,USA,UAE,Airbus A340-600,97,Airspace closure — NOTAM
2026-03-16,Air France,AI1308,Dubai,Mumbai,UAE,India,Airbus A321neo,423,Fuel supply disruption
2026-03-16,Pakistan International Airlines,PA2846,London,Muscat,UK,Oman,Boeing 777-300ER,191,ATC flow restrictions — congestion
2026-03-16,Pakistan International Airlines,PA6095,Mumbai,Kuwait City,India,Kuwait,Boeing 787-9 Dreamliner,293,Government travel ban
2026-03-16,Kuwait Airways,KU4800,Islamabad,Riyadh,Pakistan,Saudi Arabia,Airbus A321neo,410,Airspace closure — NOTAM
2026-03-16,Qatar Airways,QA2948,Lahore,Doha,Pakistan,Qatar,Boeing 777-300ER,350,Insurance restriction — war zone
2026-03-16,Etihad Airways,ET4170,Islamabad,Riyadh,Pakistan,Saudi Arabia,Airbus A350-900,114,Diplomatic advisory — do not fly
2026-03-16,Singapore Airlines,SI739,Tehran,Istanbul,Iran,Turkey,Boeing 787-10 Dreamliner,392,Insurance restriction — war zone
2026-03-16,United Airlines,UN6451,Doha,Lahore,Qatar,Pakistan,Boeing 787-10 Dreamliner,177,Government travel ban
2026-03-16,Air Arabia,AI4529,Cairo,Kuwait City,Egypt,Kuwait,Airbus A320neo,295,Government travel ban
2026-03-16,Air France,AI4482,Riyadh,Cairo,Saudi Arabia,Egypt,Airbus A350-900,80,Government travel ban
2026-03-16,flydubai,FL1997,Kuwait City,Mumbai,Kuwait,India,Airbus A350-900,116,Fuel supply disruption
2026-03-16,Mahan Air,MA5452,Doha,Lahore,Qatar,Pakistan,Airbus A330-300,254,Airspace closure — NOTAM
2026-03-16,Delta Air Lines,DE1619,Sydney,Abu Dhabi,Australia,UAE,Boeing 787-9 Dreamliner,331,Fuel supply disruption
2026-03-16,British Airways,BR1206,Islamabad,Dubai,Pakistan,UAE,Airbus A340-600,177,Crew safety — company policy
2026-03-16,Thai Airways,TH4744,Istanbul,Tehran,Turkey,Iran,Boeing 777-300ER,274,Diplomatic advisory — do not fly
2026-03-16,Qatar Airways,QA855,London,Riyadh,UK,Saudi Arabia,Boeing 787-9 Dreamliner,383,Crew safety — company policy
2026-03-17,Malaysia Airlines,MA5731,Riyadh,Islamabad,Saudi Arabia,Pakistan,Airbus A380-800,86,Government travel ban
2026-03-17,Emirates SkyCargo,EM7132,Doha,Paris,Qatar,France,Boeing 787-10 Dreamliner,187,Security risk — conflict zone
2026-03-17,British Airways,BR7406,Dubai,Delhi,UAE,India,Boeing 787-9 Dreamliner,326,Airport closure — military activity
2026-03-17,Emirates,EM2508,Istanbul,Karachi,Turkey,Pakistan,Airbus A340-600,359,Airspace closure — NOTAM
2026-03-17,Malaysia Airlines,MA6693,Dubai,Cairo,UAE,Egypt,Airbus A350-900,300,ATC flow restrictions — congestion
2026-03-17,Jazeera Airways,JA4952,Washington,Abu Dhabi,USA,UAE,Airbus A340-600,263,Crew safety — company policy
2026-03-17,Ethiopian Airlines,ET6351,Delhi,Dubai,India,UAE,Boeing 737-800,383,Government travel ban
2026-03-17,Cargolux,CA5331,Doha,New York,Qatar,USA,Airbus A330-300,153,Crew safety — company policy
2026-03-17,Air India,AI7419,Dubai,Cairo,UAE,Egypt,Boeing 787-10 Dreamliner,93,Fuel supply disruption
2026-03-17,Mahan Air,MA3616,Istanbul,Dubai,Turkey,UAE,Boeing 787-9 Dreamliner,106,Crew duty-time exceedance after long reroutes
2026-03-17,Emirates,EM4163,Dubai,Frankfurt,UAE,Germany,Boeing 777-200LR,211,Diplomatic advisory — do not fly
2026-03-17,Saudi Arabian Airlines,SA1816,Dubai,Frankfurt,UAE,Germany,Airbus A330-300,177,ATC flow restrictions — congestion
2026-03-17,Cathay Pacific,CA9852,Dubai,New York,UAE,USA,Airbus A380-800,399,Airport closure — military activity
2026-03-17,Pakistan International Airlines,PA7226,Tehran,Moscow,Iran,Russia,Boeing 787-9 Dreamliner,346,Diplomatic advisory — do not fly
2026-03-17,Singapore Airlines,SI3930,Riyadh,Cairo,Saudi Arabia,Egypt,Boeing 737 MAX 8,396,Airspace closure — NOTAM
2026-03-17,flydubai,FL7712,Paris,Doha,France,Qatar,Airbus A340-600,191,Airspace closure — NOTAM
2026-03-17,Ethiopian Airlines,ET8439,Moscow,Tehran,Russia,Iran,Boeing 777-200LR,372,Insurance restriction — war zone
2026-03-17,Emirates,EM5339,Doha,Mumbai,Qatar,India,Boeing 787-9 Dreamliner,254,Government travel ban
2026-03-17,British Airways,BR4739,Dubai,Amman,UAE,Jordan,Boeing 787-10 Dreamliner,199,Diplomatic advisory — do not fly
2026-03-17,Ethiopian Airlines,ET3975,Dubai,New York,UAE,USA,Airbus A330-300,98,Fuel supply disruption
2026-03-17,United Airlines,UN4224,London,Riyadh,UK,Saudi Arabia,Boeing 737 MAX 8,315,Airport closure — military activity
2026-03-17,Air Arabia,AI8043,Dubai,Amman,UAE,Jordan,Boeing 777-300ER,261,Temporary corridor suspension — safety bulletin
2026-03-17,Jazeera Airways,JA3809,Washington,Abu Dhabi,USA,UAE,Airbus A340-600,373,Crew safety — company policy
2026-03-17,Air India,AI2105,Beijing,Tehran,China,Iran,Boeing 737-800,206,Security risk — conflict zone
2026-03-17,Thai Airways,TH7028,Bahrain,Dubai,Bahrain,UAE,Boeing 777-300ER,277,Airspace closure — NOTAM
2026-03-17,IndiGo,IN567,Doha,Mumbai,Qatar,India,Airbus A320neo,169,Fuel supply disruption
2026-03-18,Ethiopian Airlines,ET6348,Sydney,Dubai,Australia,UAE,Airbus A321neo,162,ATC flow restrictions — congestion
2026-03-18,DHL Aviation,DH9017,London,Singapore,UK,Singapore,Airbus A340-600,190,Airport closure — military activity
2026-03-18,DHL Aviation,DH9240,Istanbul,Dubai,Turkey,UAE,Boeing 787-9 Dreamliner,137,Crew duty-time exceedance after long reroutes
2026-03-18,Singapore Airlines,SI6816,Paris,Dubai,France,UAE,Boeing 787-9 Dreamliner,351,Fuel supply disruption
2026-03-18,Qatar Airways,QA885,Dubai,Sydney,UAE,Australia,Boeing 737 MAX 8,276,Insurance restriction — war zone
2026-03-18,flydubai,FL5458,Paris,Doha,France,Qatar,Airbus A350-900,361,Security risk — conflict zone
2026-03-18,Air France,AI579,Abu Dhabi,Washington,UAE,USA,Airbus A330-300,323,Airspace closure — NOTAM
2026-03-18,Ethiopian Airlines,ET1322,London,Bahrain,UK,Bahrain,Boeing 737-800,119,Crew duty-time exceedance after long reroutes
2026-03-18,Air India,AI6886,Dubai,Paris,UAE,France,Boeing 787-10 Dreamliner,229,Airspace closure — NOTAM
2026-03-18,United Airlines,UN9049,Doha,Los Angeles,Qatar,USA,Airbus A340-600,332,Temporary corridor suspension — safety bulletin
2026-03-18,Malaysia Airlines,MA9552,Tehran,Moscow,Iran,Russia,Boeing 777-200LR,439,Diplomatic advisory — do not fly
2026-03-18,EgyptAir,EG3780,Dubai,Frankfurt,UAE,Germany,Airbus A330-300,397,Government travel ban
2026-03-18,IndiGo,IN9610,Abu Dhabi,Washington,UAE,USA,Airbus A380-800,307,Diplomatic advisory — do not fly
2026-03-18,British Airways,BR5671,Delhi,Dubai,India,UAE,Boeing 737 MAX 8,404,Airport closure — military activity
2026-03-18,Qatar Airways,QA6968,Dubai,Cairo,UAE,Egypt,Boeing 777-300ER,251,Airspace closure — NOTAM
2026-03-18,Emirates SkyCargo,EM488,Istanbul,Tehran,Turkey,Iran,Boeing 787-10 Dreamliner,241,Airspace closure — NOTAM
2026-03-18,United Airlines,UN9205,Dubai,Karachi,UAE,Pakistan,Airbus A330-300,188,Airspace closure — NOTAM
2026-03-18,Thai Airways,TH7280,Muscat,London,Oman,UK,Airbus A380-800,389,Insurance restriction — war zone
2026-03-18,Air Arabia,AI8948,Islamabad,Dubai,Pakistan,UAE,Boeing 787-9 Dreamliner,317,Airspace closure — NOTAM
2026-03-19,Etihad Airways,ET1233,Dubai,Bahrain,UAE,Bahrain,Boeing 787-10 Dreamliner,143,Crew safety — company policy
2026-03-19,Emirates,EM7940,Bahrain,Dubai,Bahrain,UAE,Airbus A340-600,343,Temporary corridor suspension — safety bulletin
2026-03-19,DHL Aviation,DH7133,Dubai,Paris,UAE,France,Airbus A330-300,168,Temporary corridor suspension — safety bulletin
2026-03-19,Qatar Airways,QA1636,Amman,Dubai,Jordan,UAE,Boeing 737-800,335,Temporary corridor suspension — safety bulletin
2026-03-19,Jazeera Airways,JA6607,London,Singapore,UK,Singapore,Airbus A340-600,395,Fuel supply disruption
2026-03-19,Saudi Arabian Airlines,SA4486,Singapore,London,Singapore,UK,Airbus A330-300,335,Security risk — conflict zone
2026-03-19,DHL Aviation,DH155,London,Riyadh,UK,Saudi Arabia,Airbus A380-800,234,Airspace closure — NOTAM
2026-03-19,Air Arabia,AI8202,Cairo,Riyadh,Egypt,Saudi Arabia,Airbus A350-900,270,Insurance restriction — war zone
2026-03-19,United Airlines,UN3380,Dubai,New York,UAE,USA,Boeing 777-200LR,424,Fuel supply disruption
2026-03-19,flydubai,FL545,London,Singapore,UK,Singapore,Airbus A350-900,231,Fuel supply disruption
2026-03-19,Emirates SkyCargo,EM3197,Amman,Dubai,Jordan,UAE,Boeing 777-200LR,287,Fuel supply disruption
2026-03-19,Pakistan International Airlines,PA3883,Delhi,Dubai,India,UAE,Boeing 777-300ER,167,Insurance restriction — war zone
2026-03-19,IndiGo,IN2845,Riyadh,London,Saudi Arabia,UK,Boeing 787-10 Dreamliner,197,Fuel supply disruption
2026-03-19,Saudi Arabian Airlines,SA5489,London,Singapore,UK,Singapore,Airbus A330-300,444,Security risk — conflict zone
2026-03-19,Gulf Air,GU7964,Doha,Paris,Qatar,France,Airbus A320neo,125,Insurance restriction — war zone
2026-03-19,Turkish Airlines,TU705,Riyadh,Cairo,Saudi Arabia,Egypt,Airbus A380-800,188,Fuel supply disruption
2026-03-20,Turkish Airlines,TU7777,London,Bahrain,UK,Bahrain,Airbus A340-600,209,Crew safety — company policy
2026-03-20,Emirates SkyCargo,EM9065,London,Bahrain,UK,Bahrain,Airbus A380-800,445,Insurance restriction — war zone
2026-03-20,KLM,KL1941,Dubai,Karachi,UAE,Pakistan,Airbus A330-300,341,Fuel supply disruption
2026-03-20,IndiGo,IN5378,New York,Doha,USA,Qatar,Boeing 787-9 Dreamliner,429,Security risk — conflict zone
2026-03-20,FedEx Express,FE8868,Dubai,Singapore,UAE,Singapore,Airbus A350-900,379,Diplomatic advisory — do not fly
2026-03-20,Iran Air,IR5946,Doha,New York,Qatar,USA,Airbus A320neo,430,Crew duty-time exceedance after long reroutes
2026-03-20,IndiGo,IN8614,Dubai,Singapore,UAE,Singapore,Airbus A350-900,231,Insurance restriction — war zone
2026-03-20,Turkish Airlines,TU8492,Mumbai,Doha,India,Qatar,Boeing 777-200LR,216,ATC flow restrictions — congestion
2026-03-20,Gulf Air,GU2504,Washington,Abu Dhabi,USA,UAE,Airbus A330-300,424,Fuel supply disruption
2026-03-20,Qatar Airways,QA5382,Istanbul,Tehran,Turkey,Iran,Boeing 737-800,113,Temporary corridor suspension — safety bulletin
2026-03-20,FedEx Express,FE6381,Doha,Lahore,Qatar,Pakistan,Boeing 777-200LR,91,Airport closure — military activity
2026-03-20,Saudi Arabian Airlines,SA3292,Cairo,Riyadh,Egypt,Saudi Arabia,Boeing 787-10 Dreamliner,160,Temporary corridor suspension — safety bulletin
2026-03-20,Iran Air,IR7025,London,Bahrain,UK,Bahrain,Boeing 737 MAX 8,183,ATC flow restrictions — congestion
2026-03-20,FedEx Express,FE3975,Dubai,Frankfurt,UAE,Germany,Airbus A380-800,393,Temporary corridor suspension — safety bulletin
2026-03-20,DHL Aviation,DH5696,Karachi,Istanbul,Pakistan,Turkey,Airbus A350-900,377,Temporary corridor suspension — safety bulletin
2026-03-20,Cathay Pacific,CA2825,Karachi,Istanbul,Pakistan,Turkey,Airbus A340-600,290,Fuel supply disruption
2026-03-20,Turkish Airlines,TU6636,Dubai,Frankfurt,UAE,Germany,Boeing 787-9 Dreamliner,190,Government travel ban
2026-03-20,Thai Airways,TH8638,Paris,Doha,France,Qatar,Boeing 787-10 Dreamliner,223,Fuel supply disruption
2026-03-20,Lufthansa,LU8485,Bahrain,London,Bahrain,UK,Airbus A350-900,340,Security risk — conflict zone
2026-03-20,FedEx Express,FE2056,London,Singapore,UK,Singapore,Boeing 787-10 Dreamliner,271,Temporary corridor suspension — safety bulletin
2026-03-20,KLM,KL6190,Kuwait City,Cairo,Kuwait,Egypt,Boeing 787-10 Dreamliner,170,Security risk — conflict zone
2026-03-20,DHL Aviation,DH7769,Cairo,Dubai,Egypt,UAE,Boeing 737-800,392,Diplomatic advisory — do not fly
2026-03-20,Singapore Airlines,SI860,Doha,Paris,Qatar,France,Boeing 737-800,321,Airspace closure — NOTAM
2026-03-20,Delta Air Lines,DE2172,Sydney,Dubai,Australia,UAE,Boeing 737 MAX 8,188,Airport closure — military activity
2026-03-20,Air Arabia,AI7179,Mumbai,Dubai,India,UAE,Airbus A340-600,282,Temporary corridor suspension — safety bulletin
2026-03-20,United Airlines,UN1982,Riyadh,London,Saudi Arabia,UK,Boeing 787-10 Dreamliner,138,Diplomatic advisory — do not fly
2026-03-21,FedEx Express,FE2355,Dubai,Karachi,UAE,Pakistan,Airbus A380-800,156,Crew safety — company policy
2026-03-21,FedEx Express,FE680,Islamabad,Dubai,Pakistan,UAE,Airbus A330-300,121,Temporary corridor suspension — safety bulletin
2026-03-21,Air Arabia,AI9037,Bahrain,London,Bahrain,UK,Airbus A320neo,139,Government travel ban
2026-03-21,Oman Air,OM2246,Sydney,Abu Dhabi,Australia,UAE,Airbus A340-600,383,Airport closure — military activity
2026-03-21,Iran Air,IR5809,London,Muscat,UK,Oman,Airbus A320neo,148,Airport closure — military activity
2026-03-21,Kuwait Airways,KU7653,Doha,New York,Qatar,USA,Boeing 737 MAX 8,325,Crew duty-time exceedance after long reroutes
2026-03-21,Air Arabia,AI5193,Doha,Paris,Qatar,France,Airbus A380-800,157,ATC flow restrictions — congestion
2026-03-21,Cathay Pacific,CA1456,Mumbai,Dubai,India,UAE,Airbus A321neo,396,Airport closure — military activity
2026-03-21,Qatar Airways,QA3752,Dubai,Karachi,UAE,Pakistan,Boeing 777-300ER,236,Airspace closure — NOTAM
2026-03-21,Lufthansa,LU9111,Abu Dhabi,Washington,UAE,USA,Airbus A340-600,350,Diplomatic advisory — do not fly
2026-03-21,Jazeera Airways,JA323,Dubai,Frankfurt,UAE,Germany,Boeing 737-800,194,Airspace closure — NOTAM
2026-03-21,Cathay Pacific,CA2242,Doha,New York,Qatar,USA,Airbus A380-800,169,Crew safety — company policy
2026-03-21,Delta Air Lines,DE4362,Riyadh,Islamabad,Saudi Arabia,Pakistan,Boeing 777-200LR,202,ATC flow restrictions — congestion
2026-03-21,Mahan Air,MA546,Los Angeles,Doha,USA,Qatar,Airbus A350-900,107,Temporary corridor suspension — safety bulletin
2026-03-21,Etihad Airways,ET306,Cairo,Kuwait City,Egypt,Kuwait,Boeing 737 MAX 8,254,Government travel ban
2026-03-21,flydubai,FL6978,Abu Dhabi,London,UAE,UK,Airbus A321neo,258,Security risk — conflict zone
2026-03-21,Etihad Airways,ET298,Los Angeles,Doha,USA,Qatar,Airbus A340-600,410,Security risk — conflict zone
2026-03-21,Air Arabia,AI8201,London,Riyadh,UK,Saudi Arabia,Airbus A320neo,155,Fuel supply disruption
2026-03-21,British Airways,BR4387,London,Doha,UK,Qatar,Airbus A320neo,212,Crew duty-time exceedance after long reroutes
2026-03-22,flydubai,FL4870,Dubai,Amman,UAE,Jordan,Boeing 737 MAX 8,356,Airport closure — military activity
2026-03-22,Jazeera Airways,JA2101,Dubai,Frankfurt,UAE,Germany,Boeing 787-9 Dreamliner,301,Diplomatic advisory — do not fly
2026-03-22,Air Arabia,AI9749,Abu Dhabi,Washington,UAE,USA,Boeing 777-300ER,147,Temporary corridor suspension — safety bulletin
2026-03-22,Emirates,EM9056,Mumbai,Kuwait City,India,Kuwait,Boeing 737-800,250,Crew safety — company policy
2026-03-22,Oman Air,OM2443,Dubai,Frankfurt,UAE,Germany,Boeing 737-800,388,Government travel ban
2026-03-22,IndiGo,IN3166,New York,Dubai,USA,UAE,Boeing 777-300ER,409,Crew safety — company policy
2026-03-22,flydubai,FL7913,Paris,Doha,France,Qatar,Boeing 737-800,235,Government travel ban
2026-03-22,British Airways,BR9377,Paris,Beirut,France,Lebanon,Airbus A330-300,369,Government travel ban
2026-03-22,Etihad Airways,ET2025,Doha,New York,Qatar,USA,Boeing 777-200LR,259,Insurance restriction — war zone
2026-03-22,Etihad Airways,ET8686,Istanbul,Delhi,Turkey,India,Boeing 737-800,404,Airport closure — military activity
2026-03-22,Lufthansa,LU632,Singapore,London,Singapore,UK,Boeing 777-200LR,141,Crew safety — company policy
2026-03-22,EgyptAir,EG9550,Dubai,Karachi,UAE,Pakistan,Airbus A330-300,296,Airspace closure — NOTAM
2026-03-22,EgyptAir,EG8508,Sydney,Abu Dhabi,Australia,UAE,Airbus A330-300,267,Crew safety — company policy
2026-03-22,Singapore Airlines,SI7825,Dubai,Frankfurt,UAE,Germany,Airbus A380-800,192,Temporary corridor suspension — safety bulletin
